Model,GFLOPs_mean,Params_mean,FPS_mean,PSNR_mean,SSIM_mean,RMSE_mean,MAE_mean,MSE_mean,R2_mean,GFLOPs_std,Params_std,FPS_std,PSNR_std,SSIM_std,RMSE_std,MAE_std,MSE_std,R2_std
leres,18056.7136,34.4964,106.3449,20.988754,0.675289,0.101671,0.071646,0.010846,0.725965,0.0000,0.0000,0.0000,3.384789,0.091752,0.022555,0.018717,0.004841,0.122174
resnet_unet,15322.6733,29.2469,75.1890,22.786685,0.788057,0.085333,0.060127,0.007924,0.797791,0.0000,0.0000,0.0000,3.823673,0.104424,0.025348,0.019837,0.004977,0.129080
